price,parking,bathrooms,bedrooms,suburb,propertyType
875000.0,0,2,4,Chapman,house
630000.0,1,1,3,Ainslie,house
615000.0,4,1,4,Isabella Plains,house
332000.0,1,2,3,Spence,house
490000.0,2,2,3,Kambah,house
450000.0,2,2,3,Kaleen,house
309000.0,1,1,2,Banks,house
875000.0,2,3,4,Hackett,house
413000.0,1,1,3,Downer,house
420000.0,0,1,3,Hawker,house
445000.0,2,2,4,Theodore,house
600000.0,2,2,4,Kambah,house
417500.0,1,2,2,Hughes,house
462500.0,2,2,4,Palmerston,house
485000.0,1,1,4,Spence,house
525000.0,2,1,4,Ainslie,house
580000.0,2,1,4,Watson,house
380000.0,1,2,1,City,house
560000.0,1,1,4,Watson,house
575000.0,2,2,4,Banks,house
1035000.0,3,3,4,Reid,house
485000.0,1,2,3,Ainslie,house
599000.0,2,2,4,Calwell,house
349000.0,2,2,3,Kambah,house
350000.0,1,1,3,Conder,house
360000.0,2,1,3,Theodore,house
375000.0,1,1,3,Scullin,house
405000.0,2,1,3,Isabella Plains,house
350000.0,2,1,3,Calwell,house
395000.0,2,1,3,Giralang,house
417000.0,2,2,3,Conder,house
560000.0,1,1,3,Ainslie,house
650000.0,4,2,4,Wanniassa,house
416000.0,2,1,4,Evatt,house
50000.0,1,1,3,Narrabundah,house
749000.0,2,2,4,Kambah,house
575000.0,2,2,4,Fadden,house
625000.0,0,1,3,Downer,house
675000.0,1,3,3,Red Hill,house
610000.0,2,2,5,Fisher,house
445000.0,2,2,4,Dunlop,house
50000.0,1,1,3,Deakin,house
432000.0,2,2,3,Stirling,house
655000.0,4,2,5,Rivett,house
50000.0,3,3,5,Isaacs,house
500000.0,2,1,4,Kaleen,house
515000.0,0,2,2,Ainslie,house
811000.0,2,2,5,Garran,house
50000.0,2,2,3,Chifley,house
590000.0,2,3,4,Fadden,house
645000.0,2,2,5,Calwell,house
730000.0,2,2,4,Braddon,house
342000.0,1,2,3,Banks,house
471000.0,1,1,4,Evatt,house
488000.0,2,2,3,Kaleen,house
50000.0,2,1,3,Deakin,house
675000.0,2,2,3,Torrens,house
522000.0,1,1,3,Ainslie,house
2000000.0,2,3,4,Turner,house
50000.0,5,2,3,Rivett,house
352500.0,1,1,2,Belconnen,house
675000.0,2,2,4,Kambah,house
646000.0,2,2,4,Weston,house
50000.0,2,2,4,Griffith,house
400000.0,2,3,3,Nicholls,house
655000.0,7,3,4,Fraser,house
580000.0,2,2,3,O'Connor,house
50000.0,2,4,4,Red Hill,house
405000.0,2,1,3,Holt,house
695000.0,2,2,4,Duffy,house
50000.0,2,1,3,Banks,house
50000.0,0,1,3,Deakin,house
50000.0,1,2,1,Deakin,house
350000.0,2,2,3,Florey,house
350000.0,1,1,3,Gordon,house
350000.0,2,1,3,Ngunnawal,house
50000.0,2,2,3,Pearce,house
50000.0,2,2,3,Kambah,house
420000.0,2,2,4,Banks,house
503000.0,2,2,3,Weston,house
380000.0,2,2,3,Conder,house
50000.0,2,2,4,Conder,house
50000.0,3,2,3,Chisholm,house
334000.0,1,1,3,Gordon,house
395000.0,2,1,3,Fisher,house
467500.0,2,2,4,Spence,house
50000.0,2,2,3,Farrer,house
522500.0,0,1,3,Narrabundah,house
635000.0,2,2,5,Nicholls,house
690000.0,2,3,4,McKellar,house
780000.0,4,3,4,Fadden,house
679000.0,2,3,5,Macarthur,house
50000.0,1,2,4,Chifley,house
450000.0,2,2,3,Fisher,house
467000.0,1,2,3,Watson,house
50000.0,1,2,4,Narrabundah,house
649000.0,2,2,5,Gordon,house
675000.0,2,2,4,Kambah,house
50000.0,2,2,4,Nicholls,house
415000.0,3,2,3,Bonython,house
445000.0,2,2,4,Rivett,house
292500.0,1,1,1,Deakin,house
450000.0,1,2,3,Downer,house
680000.0,2,2,4,Watson,house
950000.0,2,2,4,Ainslie,house
550000.0,2,2,3,Isabella Plains,house
485000.0,2,1,3,Watson,house
640000.0,2,2,4,Bruce,house
350000.0,1,2,3,Flynn,house
332000.0,1,1,2,Banks,house
