price,parking,bathrooms,bedrooms,suburb,propertyType,quarters,seasons
550000.0,2,2,5,Hughes,house,q4,fall
655000.0,1,2,6,Aranda,house,q4,fall
365000.0,1,1,3,Palmerston,house,q1,winter
612500.0,2,2,4,Pearce,house,q1,winter
985000.0,2,2,6,Hughes,house,q1,winter
550000.0,2,2,4,Narrabundah,house,q1,spring
875000.0,1,3,3,Deakin,house,q2,spring
472500.0,2,2,4,Latham,house,q2,spring
600000.0,1,2,5,Duffy,house,q2,spring
372500.0,1,2,3,Holt,house,q3,summer
395000.0,4,1,3,Isabella Plains,house,q3,summer
497000.0,0,1,2,Ainslie,house,q3,summer
595000.0,2,2,4,Banks,house,q3,summer
875000.0,3,3,5,Nicholls,house,q3,fall
550000.0,2,1,3,Aranda,house,q4,fall
465000.0,2,2,2,Weston,house,q4,winter
505000.0,3,1,4,Wanniassa,house,q4,winter
379000.0,2,2,3,Holt,house,q4,fall
505000.0,1,1,3,Narrabundah,house,q4,fall
675000.0,1,2,3,Chifley,house,q4,fall
380000.0,0,1,3,Scullin,house,q4,fall
655000.0,2,2,4,Kambah,house,q4,fall
760000.0,2,2,3,Griffith,house,q4,fall
760500.0,2,2,3,Griffith,house,q4,fall
1050000.0,4,3,8,Turner,house,q4,fall
350000.0,1,1,2,Phillip,house,q4,fall
442500.0,2,2,4,Dunlop,house,q4,fall
447000.0,2,1,3,Conder,house,q4,fall
560000.0,3,2,4,Kambah,house,q4,fall
560000.0,2,2,4,Monash,house,q4,fall
335000.0,1,1,3,Chisholm,house,q4,fall
575000.0,1,2,3,Hughes,house,q4,fall
439000.0,0,2,3,Kambah,house,q4,fall
308000.0,1,2,1,Gungahlin,house,q4,fall
353000.0,1,2,3,Banks,house,q4,fall
370000.0,2,1,3,Richardson,house,q4,fall
425000.0,1,2,3,Watson,house,q4,fall
825000.0,1,1,3,Ainslie,house,q4,fall
930000.0,2,2,5,Melba,house,q1,winter
365000.0,1,1,3,Chisholm,house,q1,spring
387000.0,2,1,3,Gordon,house,q1,spring
620000.0,2,1,4,Banks,house,q2,spring
825000.0,2,1,3,Deakin,house,q2,spring
335000.0,1,1,3,Theodore,house,q2,summer
350000.0,2,2,3,Kambah,house,q3,summer
50000.0,2,2,4,Farrer,house,q3,summer
421000.0,3,1,3,Dickson,house,q3,summer
545000.0,2,2,4,Banks,house,q3,summer
675000.0,2,2,4,Harrison,house,q4,fall
350000.0,1,1,2,Belconnen,house,q4,fall
635000.0,1,2,4,Curtin,house,q4,winter
357500.0,2,2,3,Lyons,house,q4,winter
400000.0,1,2,4,Ngunnawal,house,q4,winter
1105000.0,2,3,4,Campbell,house,q4,winter
259000.0,1,1,2,Downer,house,q4,winter
437500.0,2,2,3,Richardson,house,q4,winter
50000.0,2,1,5,Deakin,house,q4,winter
50000.0,2,2,4,Kambah,house,q4,winter
875000.0,2,2,4,Hughes,house,q4,winter
530000.0,2,2,4,Conder,house,q4,winter
675000.0,1,2,3,Chifley,house,q4,winter
875000.0,0,2,4,Chapman,house,q4,winter
630000.0,1,1,3,Ainslie,house,q4,winter
615000.0,4,1,4,Isabella Plains,house,q4,winter
332000.0,1,2,3,Spence,house,q4,winter
490000.0,2,2,3,Kambah,house,q4,winter
450000.0,2,2,3,Kaleen,house,q4,winter
309000.0,1,1,2,Banks,house,q1,winter
875000.0,2,3,4,Hackett,house,q4,fall
413000.0,1,1,3,Downer,house,q1,winter
420000.0,0,1,3,Hawker,house,q1,winter
445000.0,2,2,4,Theodore,house,q1,winter
600000.0,2,2,4,Kambah,house,q1,winter
417500.0,1,2,2,Hughes,house,q1,winter
462500.0,2,2,4,Palmerston,house,q1,winter
485000.0,1,1,4,Spence,house,q1,winter
525000.0,2,1,4,Ainslie,house,q1,winter
580000.0,2,1,4,Watson,house,q1,winter
380000.0,1,2,1,City,house,q1,winter
560000.0,1,1,4,Watson,house,q1,winter
575000.0,2,2,4,Banks,house,q1,winter
1035000.0,3,3,4,Reid,house,q1,winter
485000.0,1,2,3,Ainslie,house,q1,winter
599000.0,2,2,4,Calwell,house,q1,winter
349000.0,2,2,3,Kambah,house,q2,spring
350000.0,1,1,3,Conder,house,q2,spring
360000.0,2,1,3,Theodore,house,q3,summer
375000.0,1,1,3,Scullin,house,q3,summer
405000.0,2,1,3,Isabella Plains,house,q3,summer
350000.0,2,1,3,Calwell,house,q3,summer
395000.0,2,1,3,Giralang,house,q3,summer
417000.0,2,2,3,Conder,house,q3,fall
560000.0,1,1,3,Ainslie,house,q3,fall
650000.0,4,2,4,Wanniassa,house,q3,fall
416000.0,2,1,4,Evatt,house,q4,fall
50000.0,1,1,3,Narrabundah,house,q4,winter
749000.0,2,2,4,Kambah,house,q4,winter
575000.0,2,2,4,Fadden,house,q1,winter
625000.0,0,1,3,Downer,house,q1,winter
675000.0,1,3,3,Red Hill,house,q1,winter
610000.0,2,2,5,Fisher,house,q1,winter
445000.0,2,2,4,Dunlop,house,q1,winter
50000.0,1,1,3,Deakin,house,q1,winter
432000.0,2,2,3,Stirling,house,q1,winter
655000.0,4,2,5,Rivett,house,q1,winter
50000.0,3,3,5,Isaacs,house,q1,winter
500000.0,2,1,4,Kaleen,house,q1,winter
515000.0,0,2,2,Ainslie,house,q1,winter
811000.0,2,2,5,Garran,house,q1,winter
50000.0,2,2,3,Chifley,house,q1,winter
590000.0,2,3,4,Fadden,house,q1,winter
645000.0,2,2,5,Calwell,house,q1,winter
730000.0,2,2,4,Braddon,house,q1,winter
342000.0,1,2,3,Banks,house,q1,winter
471000.0,1,1,4,Evatt,house,q1,winter
488000.0,2,2,3,Kaleen,house,q1,winter
50000.0,2,1,3,Deakin,house,q1,winter
675000.0,2,2,3,Torrens,house,q1,spring
522000.0,1,1,3,Ainslie,house,q3,summer
2000000.0,2,3,4,Turner,house,q4,fall
50000.0,5,2,3,Rivett,house,q4,fall
352500.0,1,1,2,Belconnen,house,q4,winter
675000.0,2,2,4,Kambah,house,q1,spring
646000.0,2,2,4,Weston,house,q1,spring
50000.0,2,2,4,Griffith,house,q1,spring
400000.0,2,3,3,Nicholls,house,q1,spring
655000.0,7,3,4,Fraser,house,q1,spring
580000.0,2,2,3,O'Connor,house,q1,spring
50000.0,2,4,4,Red Hill,house,q1,spring
405000.0,2,1,3,Holt,house,q1,spring
695000.0,2,2,4,Duffy,house,q1,spring
50000.0,2,1,3,Banks,house,q1,spring
50000.0,0,1,3,Deakin,house,q1,spring
50000.0,1,2,1,Deakin,house,q1,spring
350000.0,2,2,3,Florey,house,q1,spring
350000.0,1,1,3,Gordon,house,q1,winter
